state,district,market
Haryana,Mewat,FerozpurZirkha(Nagina) APMC
Haryana,Kurukshetra,Pehowa APMC
Haryana,Sirsa,Rania APMC
Haryana,Fatehabad,Jakhal APMC
Haryana,Kaithal,Pundri APMC
Haryana,Ambala,Ambala Cantt. APMC
Haryana,Mewat,Punhana APMC
Haryana,Ambala,Barara APMC
Haryana,Ambala,Ambala City APMC
Haryana,Kurukshetra,Babain APMC
Haryana,Mahendragarh-Narnaul,Ateli APMC
Haryana,Gurgaon,Gurgaon APMC
Haryana,Panchkula,Panchkul(Kalka) APMC
Haryana,Panchkula,"New Grain Market , Panchkula APMC"
Haryana,Jind,Jind APMC
Haryana,Panipat,Madlauda APMC
Haryana,Yamuna Nagar,Yamuna Nagar APMC
Haryana,Kaithal,Cheeka APMC
Haryana,Sirsa,Dabwali APMC
Himachal Pradesh,Kangra,SMY Dharamshala
Himachal Pradesh,Hamirpur,SMY Nadaun
Himachal Pradesh,Chamba,PMY Chamba
Himachal Pradesh,Mandi,PMY Kangni Mandi
Himachal Pradesh,Kangra,SMY Baijnath
Himachal Pradesh,Kangra,SMY Jaisinghpur
Himachal Pradesh,Kangra,SMY Nagrota Bagwan
Himachal Pradesh,Shimla,SMY Parala
Himachal Pradesh,Kangra,PMY Kangra
Himachal Pradesh,Kullu,SMY Bhuntar
Himachal Pradesh,Una,PMY Una
Himachal Pradesh,Mandi,SMY Dhanotu
Himachal Pradesh,Kangra,SMY Palampur
Himachal Pradesh,Solan,SMY Parwanoo
Himachal Pradesh,Shimla,SMY Rohroo
Himachal Pradesh,Bilaspur,PMY Bilaspur
Himachal Pradesh,Solan,SMY Nalagarh
Himachal Pradesh,Kullu,PMY Kullu
Himachal Pradesh,Solan,PMY Kather Solan
Himachal Pradesh,Shimla,SMY Rampur
Himachal Pradesh,Kangra,SMY Jwalaji
Himachal Pradesh,Hamirpur,PMY Hamirpur
Himachal Pradesh,Una,SMY Takarla
Himachal Pradesh,Shimla,PMY Dhalli Shimla
Himachal Pradesh,Solan,SMY Wakhnaghat
Himachal Pradesh,Kullu,SMY Chauri Bihal
Himachal Pradesh,Mandi,SMY Takoli
Himachal Pradesh,Solan,SMY Dharampur
Himachal Pradesh,Sirmore,SMY Rajgarh
Himachal Pradesh,Mandi,SMY Chail Chowk
Himachal Pradesh,Bilaspur,SMY Namhol
Himachal Pradesh,Sirmore,PMY Paonta Sahib
Himachal Pradesh,Kullu,SMY Patli Kulh
Himachal Pradesh,Kullu,SMY Shatt
Jammu and Kashmir,Kathua,Kathua (F&V)
Jammu and Kashmir,Rajouri,Rajouri (Phaliana) (F&V)
Jammu and Kashmir,Jammu,Narwal Jammu (F&V)
Jammu and Kashmir,Pulwama,Prichoo Pulwama (F&V)
Jammu and Kashmir,Anantnag,Jablipora Anantnag (F&V)
Jammu and Kashmir,Ganderbal,Zazna Ganderbal (F&V)
Karnataka,Bengaluru,Bengaluru APMC
Karnataka,Gadag,Laxmeshwar APMC
Karnataka,Bengaluru South,Ramanagara APMC
Karnataka,Bengaluru Rural,Hoskote APMC
Karnataka,Kalaburagi,Kalaburagi APMC
Karnataka,Dakshina Kannada,Bantwala APMC
Karnataka,Dakshina Kannada,Puttur APMC
Karnataka,Mandya,K.R. Pet APMC
Karnataka,Shivamogga,Bhadravathi APMC
Karnataka,Uttara Kannada,Sirsi APMC
Karnataka,Chitradurga,Holalkere APMC
Karnataka,Dakshina Kannada,Mangaluru APMC
Karnataka,Dakshina Kannada,Sulya APMC
Karnataka,Davangere,Honnali APMC
Karnataka,Shivamogga,Sagar APMC
Karnataka,Chikkamagaluru,Koppa APMC
Karnataka,Uttara Kannada,Kumta APMC
Karnataka,Dakshina Kannada,Belthangdi APMC
Karnataka,Shivamogga,Shimoga(Theertahalli) APMC
Karnataka,Mysuru,Mysuru APMC
Karnataka,Bellary,Ballari APMC
Karnataka,Vijayapura,Vijayapura APMC
Karnataka,Belagavi,Ramdurga APMC
Karnataka,Vijayapura,Talikot APMC
Karnataka,Raichur,Lingasugur APMC
Karnataka,Udupi,Udupi APMC
Karnataka,Bengaluru South,Channapatna APMC
Karnataka,Bengaluru Rural,Doddaballapur APMC
Karnataka,Chikkaballapur,Bagepalli APMC
Karnataka,Kolar,Malur APMC
Karnataka,Shivamogga,Shimoga APMC
Karnataka,Chikkaballapur,Gauribidanur APMC
Karnataka,Chamarajanagar,Gundlupet APMC
Karnataka,Chamarajanagar,Chamarajanagar APMC
Karnataka,Kolar,Mulbagal APMC
Karnataka,Kolar,Kolar APMC
Karnataka,Chikkaballapur,Chintamani APMC
Karnataka,Chikkamagaluru,Chikkamagaluru APMC
Karnataka,Kolar,Bangarpet APMC
Karnataka,Chikkamagaluru,Kadur APMC
Karnataka,Dharwad,Hubballi APMC
Karnataka,Raichur,Raichur APMC
Karnataka,Vijayanagara,H.B. Halli APMC
Karnataka,Koppal,Koppal APMC
Karnataka,Davangere,Harihara APMC
Karnataka,Tumakuru,Turvekere APMC
Karnataka,Tumakuru,Tiptur APMC
Karnataka,Hassan,Arasikere APMC
Karnataka,Bagalkot,Bagalkot APMC
Karnataka,Chitradurga,Challakere APMC
Karnataka,Raichur,Manvi APMC
Karnataka,Shivamogga,Shikaripura APMC
Karnataka,Haveri,Haveri APMC
Karnataka,Haveri,Hanagal APMC
Karnataka,Chitradurga,Hosadurga APMC
Karnataka,Belagavi,Sankeshwar APMC
Karnataka,Belagavi,Soundati APMC
Karnataka,Vijayanagara,Kottur APMC
Karnataka,Chitradurga,Hiriyur APMC
Karnataka,Koppal,Kustagi APMC
Karnataka,Bellary,Kampli APMC
Karnataka,Hassan,Sakaleshpura APMC
Karnataka,Koppal,Gangavathi APMC
Karnataka,Uttara Kannada,Haliyala APMC
Karnataka,Mysuru,Periyapatna APMC
Karnataka,Vijayapura,Sindagi APMC
Karnataka,Kalaburagi,Chincholi APMC
Karnataka,Raichur,Sindhanur APMC
Karnataka,Belagavi,Bailahongal APMC
Karnataka,Mandya,Mandya APMC
Karnataka,Mandya,Pandavapura APMC
Keralam,Ernakulam,North Paravur Market
Keralam,Malappuram,Kottakkal Market
Keralam,Thiruvananthapuram,Pappanchani VFPCK Market
Keralam,Kozhikode(Calicut),Mukkom Market
Keralam,Malappuram,Manjeri Market
Keralam,Idukki,Kattappana Market
Keralam,Kasargod,Kasargod Market
Keralam,Kasargod,Kanjangadu Market
Keralam,Kannur,Kuthuparambu Market
Keralam,Kannur,Payyannur Market
Keralam,Palakad,Vadakkenchery Market
Keralam,Thirssur,Chavakkad Market
Keralam,Ernakulam,Thrippunithura Market
